ANIMAL	YEAR	SEX	CAP_TRAP	RS	MS	SVL	BCI_RESID
13BTS419	2018	M	0	0	0	1053.5	0.052
13BTS559	2016	M	0	0	0	1053.5	-0.155
13BTS051	2009	M	3	0	0	1056.222	0.422
13BTS046	2009	M	2	0	0	1058.143	0.363
13BTS074	2009	M	5	0	0	1058.556	0.278
13BTS576	2017	M	0	0	0	1059.75	-0.113
13BTS445	2016	M	0	0	0	1061.75	-0.121
13BTS322	2015	M	0	0	0	1063	-0.329
13BTS200	2012	M	0	0	0	1063.5	-0.057
13BTS559	2017	M	7	0	0	1064.636	-0.102
13BTS131	2007	M	3	0	0	1066.25	-0.137
13BTS504	2017	M	0	0	0	1066.25	-0.114
13BTS078	2008	M	2	0	0	1066.5	-0.065
13BTS575	2017	M	2	0	0	1067.2	-0.076
13BTS326	2013	M	1	0	0	1068	-0.024
13BTS406	2016	M	0	0	0	1068	0.131
13BTS608	2017	M	0	0	0	1071	-0.083
13BTS007	2010	M	1	0	0	1071.5	0.059
13BTS140	2012	M	0	0	0	1072	0.305
13BTS457	2016	M	0	0	0	1075.75	-0.077
13BTS373	2017	M	4	0	0	1077	0.084
13BTS087	2008	M	4	2	2	1077.714	-0.054
13BTS005	2007	M	7	0	0	1079.333	-0.11
13BTS325	2013	M	5	0	0	1079.333	-0.025
13BTS262	2015	M	17	0	0	1079.7	0.028
13BTS436	2016	M	0	0	0	1080.5	-0.131
13BTS092	2008	M	2	0	0	1081.667	-0.053
13BTS269	2013	M	6	0	0	1085.333	0.041
13BTS007	2011	M	0	0	0	1086	-0.153
13BTS620	2017	M	6	0	0	1086.923	-0.025
13BTS262	2012	M	8	0	0	1089.25	0.097
13BTS274	2012	M	8	0	0	1093.286	-0.038
13BTS510	2017	M	0	0	0	1093.5	-0.044
13BTS374	2016	M	5	0	0	1094.5	-0.261
13BTS472	2018	M	0	0	0	1095	-0.068
13BTS108	2009	M	9	0	0	1095.6	0.457
13BTS103	2008	M	3	1	1	1096.333	-0.044
13BTS154	2012	M	0	0	0	1097.333	0.157
13BTS019	2008	M	3	0	0	1098.2	-0.154
13BTS118	2010	M	1	0	0	1098.25	-0.02
13BTS364	2017	M	7	0	0	1100.211	0.033
13BTS069	2009	M	12	9	7	1100.273	0.42
13BTS281	2013	M	10	0	0	1102.1	0.03
13BTS442	2017	M	0	0	0	1102.714	-0.102
13BTS084	2009	M	0	1	1	1105	0.314
