ID	FATHER	MOTHER
13BTS288	13BTS141	13BTS189
13BTS332	13BTS141	13BTS189
13BTS351	13BTS141	F0020
13BTS362	13BTS141	13BTS191
13BTS363	13BTS141	13BTS189
13BTS368	13BTS141	13BTS189
13BTS369	13BTS141	13BTS189
13BTS370	13BTS190	F0039
13BTS372	13BTS162	13BTS222
13BTS374	13BTS141	13BTS339
13BTS381	13BTS141	13BTS339
13BTS382	13BTS141	13BTS296
13BTS409	13BTS141	F0012
13BTS410	13BTS162	13BTS222
13BTS414	13BTS260	13BTS222
13BTS430	13BTS162	F0023
13BTS440	13BTS162	F0023
13BTS442	13BTS141	13BTS339
13BTS527	13BTS141	13BTS339
13BTS529	13BTS141	13BTS189
13BTS566	13BTS141	13BTS189
13BTS571	13BTS260	F0017
13BTS575	13BTS162	13BTS193
13BTS359	13BTS311	13BTS287
13BTS373	13BTS141	13BTS189
13BTS385	13BTS258	13BTS287
13BTS398	13BTS311	13BTS272
13BTS419	13BTS141	13BTS159
13BTS421	13BTS141	13BTS296
13BTS422	13BTS260	13BTS193
13BTS425	13BTS258	13BTS317
13BTS441	13BTS140	13BTS193
13BTS510	13BTS140	13BTS193
13BTS514	13BTS190	13BTS235
13BTS526	13BTS260	F0017
13BTS532	13BTS141	F0020
13BTS562	13BTS258	13BTS287
13BTS431	13BTS140	13BTS222
13BTS468	13BTS140	13BTS222
13BTS472	13BTS260	13BTS261
13BTS501	13BTS325	13BTS517
13BTS603	13BTS377	13BTS429
13BTS605	13BTS377	13BTS439
13BTS643	13BTS377	13BTS439
13BTS649	NA	13BTS261
13BTS521	13BTS527	13BTS372
13BTS551	13BTS529	13BTS526
13BTS577	13BTS576	13BTS566
13BTS601	13BTS608	13BTS372
13BTS607	13BTS518	13BTS566
13BTS609	13BTS442	13BTS328
13BTS630	13BTS608	F0040
13BTS634	13BTS608	13BTS372
13BTS641	13BTS442	13BTS368
13BTS662	13BTS529	13BTS526
13BTS664	13BTS529	13BTS526
13BTS685	13BTS608	13BTS372
